DU97W300 airfoil at
20M Reynolds number.
 1 Number of airfoil tables in this file
 0.0 Table ID parameter
 11.00 Stall angle (deg)
 0.0 No longer used, enter zero
 0.0 No longer used, enter zero
 0.0 No longer used, enter zero
-3.0888   Zero Cn angle of attack (deg)
 7.2169   Cn slope for zero lift (dimensionless)
 1.7746   Cn extrapolated to value at positive stall angle of attack
-0.9650   Cn at stall value for negative angle of attack
-4.00     Angle of attack for minimum CD (deg)
 0.0068   Minimum CD value
-180.00    0.000   0.0100   0.0000
-170.00    0.399   0.0043   0.4000
-160.00    0.797   0.1290   0.5066
-150.00    0.905   0.3203   0.4951
-140.00    0.778   0.5552   0.4520
-130.00    0.659   0.8059   0.4504
-120.00    0.521   1.0425   0.4627
-110.00    0.358   1.2370   0.4746
-100.00    0.179   1.3665   0.4773
 -90.00    0.000   1.4160   0.4651
 -80.00   -0.179   1.3665   0.4334
 -70.00   -0.358   1.2370   0.3901
 -60.00   -0.521   1.0425   0.3413
 -50.00   -0.659   0.8059   0.2925
 -40.00   -0.778   0.5552   0.2467
 -30.00   -0.905   0.3203   0.1994
 -20.00   -0.991   0.1474   0.1128
 -10.00   -0.978   0.0071  -0.0674
  -9.00   -0.839   0.0069  -0.0747
  -8.00   -0.702   0.0068  -0.0812
  -7.00   -0.566   0.0068  -0.0872
  -6.00   -0.430   0.0068  -0.0931
  -5.00   -0.294   0.0067  -0.0991
  -4.00   -0.158   0.0067  -0.1048
  -3.00   -0.023   0.0067  -0.1103
  -2.00    0.111   0.0068  -0.1153
  -1.00    0.246   0.0068  -0.1204
   0.00    0.380   0.0069  -0.1252
   1.00    0.513   0.0070  -0.1299
   2.00    0.645   0.0071  -0.1342
   3.00    0.777   0.0072  -0.1383
   4.00    0.909   0.0074  -0.1423
   5.00    1.038   0.0077  -0.1458
   6.00    1.164   0.0082  -0.1487
   7.00    1.279   0.0097  -0.1497
   8.00    1.395   0.0107  -0.1508
   9.00    1.502   0.0121  -0.1502
  10.00    1.604   0.0133  -0.1486
  11.00    1.693   0.0147  -0.1447
  12.00    1.738   0.0169  -0.1331
  13.00    1.769   0.0207  -0.1224
  14.00    1.776   0.0271  -0.1129
  15.00    1.727   0.0389  -0.1045
  16.00    1.606   0.0595  -0.1004
  17.00    1.483   0.0860  -0.1051
  18.00    1.421   0.1082  -0.1124
  19.00    1.377   0.1295  -0.1222
  20.00    1.365   0.1469  -0.1318
  21.00    1.362   0.1633  -0.1426
  22.00    1.376   0.1764  -0.1523
  23.00    1.395   0.1889  -0.1626
  24.00    1.415   0.2015  -0.1738
  25.00    1.424   0.2176  -0.1888
  30.00    1.294   0.3203  -0.2308
  40.00    1.111   0.5552  -0.2831
  50.00    0.942   0.8059  -0.3241
  60.00    0.744   1.0425  -0.3633
  70.00    0.512   1.2370  -0.4015
  80.00    0.256   1.3665  -0.4365
  90.00    0.000   1.4160  -0.4651
 100.00   -0.179   1.3665  -0.4773
 110.00   -0.358   1.2370  -0.4746
 120.00   -0.521   1.0425  -0.4627
 130.00   -0.659   0.8059  -0.4504
 140.00   -0.778   0.5552  -0.4520
 150.00   -0.905   0.3203  -0.4951
 160.00   -0.797   0.1290  -0.5066
 170.00   -0.399   0.0043  -0.5000
 180.00    0.000   0.0100   0.0000
